label,baseline,tau,margin_tau,max_delta,u_recall_pct,delta_u_recall_pct,novel_correct_pct,delta_novel_correct_pct,base_false_unknown,delta_base_false_unknown,novel_false_unknown,delta_novel_false_unknown,unknown_as_novel,delta_unknown_as_novel,base_unknown_pred_pct,novel_unknown_pred_pct,unknown_unknown_pred_pct,unknown_winner_anchors,calibrated_gate_gt_0.05,base_correct_pct,floor_score,margin_temp,temp,u_recall_hit,u_recall_total,unknown_as_base,unknown_correct_pct
baseline,True,,,,43.83259911894273,,33.687002652519894,,218,,1182,,362,,0.16807759325222432,13.631645715603739,18.502202643171806,0,0,47.51353101725494,,,,1194,2724,189,18.502202643171806
tau0.52_m0_d0.25,,0.52,0.0,0.25,21.43906020558003,-22.3935389133627,34.93253373313343,1.2455310806135387,199,-19,1016,-166,368,6,0.15342862870271853,11.717218313919965,18.06167400881057,19100521.0,8149731.0,47.519699002328416,0.05,0.02,0.04,584,2724,189,18.06167400881057
tau0.52_m0_d0.5,,0.52,0.0,0.5,21.18208516886931,-22.65051395007342,36.166532118556106,2.4795294660362117,181,-37,843,-339,376,14,0.13955066228739726,9.722062045900127,17.547723935389133,19100521.0,8149731.0,47.52432499113352,0.05,0.02,0.04,577,2724,189,17.547723935389133
tau0.52_m0.02_d0.25,,0.52,0.02,0.25,21.549192364170338,-22.283406754772393,34.874870257179104,1.1878676046592105,201,-17,1028,-154,367,5,0.15497062497108757,11.855610656210356,18.17180616740088,19100521.0,7651557.0,47.518157006060044,0.05,0.02,0.04,587,2724,189,18.17180616740088
tau0.52_m0.02_d0.5,,0.52,0.02,0.5,21.32892804698972,-22.50367107195301,35.94741090992965,2.2604082574097575,186,-32,875,-307,372,10,0.14340565295831983,10.091108292007842,17.804698972099853,19100521.0,7651557.0,47.52278299486515,0.05,0.02,0.04,581,2724,189,17.804698972099853
tau0.56_m0_d0.25,,0.56,0.0,0.25,21.659324522760645,-22.173274596182086,34.60961826778918,0.9226156152692866,203,-15,1058,-124,365,3,0.15651262123945658,12.20159151193634,18.355359765051396,19100521.0,6249359.0,47.518157006060044,0.05,0.02,0.04,590,2724,189,18.355359765051396
tau0.56_m0_d0.5,,0.56,0.0,0.5,21.43906020558003,-22.3935389133627,35.56683196863107,1.8798293161111772,190,-28,922,-260,370,8,0.14648964549505789,10.63314496597855,17.98825256975037,19100521.0,6249359.0,47.52124099859678,0.05,0.02,0.04,584,2724,189,17.98825256975037
tau0.56_m0.02_d0.25,,0.56,0.02,0.25,21.769456681350956,-22.063142437591775,34.58655287740745,0.8995502248875553,203,-15,1062,-120,365,3,0.15651262123945658,12.247722292699805,18.3920704845815,19100521.0,5872652.0,47.518157006060044,0.05,0.02,0.04,593,2724,189,18.3920704845815
tau0.56_m0.02_d0.5,,0.56,0.02,0.5,21.58590308370044,-22.24669603524229,35.49763579748587,1.8106331449659763,194,-24,934,-248,368,6,0.14957363803179596,10.771537308268943,18.17180616740088,19100521.0,5872652.0,47.51892800419423,0.05,0.02,0.04,588,2724,189,18.17180616740088
tau0.6_m0_d0.25,,0.6,0.0,0.25,21.916299559471366,-21.916299559471366,34.42509514473532,0.7380924922154293,205,-13,1077,-105,364,2,0.15805461750782562,12.420712720562795,18.53891336270191,19100521.0,4961731.0,47.51738600792586,0.05,0.02,0.04,597,2724,189,18.53891336270191
tau0.6_m0_d0.5,,0.6,0.0,0.5,21.659324522760645,-22.173274596182086,35.047860685042096,1.3608580325222022,196,-22,983,-199,366,4,0.151115634300165,11.336639372621383,18.318649045521294,19100521.0,4961731.0,47.51892800419423,0.05,0.02,0.04,590,2724,189,18.318649045521294
tau0.6_m0.02_d0.25,,0.6,0.02,0.25,21.916299559471366,-21.916299559471366,34.40202975435359,0.715027101833698,206,-12,1080,-102,364,2,0.15882561564201014,12.455310806135394,18.53891336270191,19100521.0,4597330.0,47.51738600792586,0.05,0.02,0.04,597,2724,189,18.53891336270191
tau0.6_m0.02_d0.5,,0.6,0.02,0.5,21.769456681350956,-22.063142437591775,34.99019720908777,1.303194556567874,196,-22,994,-188,366,4,0.151115634300165,11.463499019720908,18.355359765051396,19100521.0,4597330.0,47.51892800419423,0.05,0.02,0.04,593,2724,189,18.355359765051396
