label,baseline,mode,tau,alpha,score_delta,u_recall_pct,delta_u_recall_pct,novel_correct_pct,delta_novel_correct_pct,base_false_unknown,delta_base_false_unknown,novel_false_unknown,delta_novel_false_unknown,unknown_as_novel,delta_unknown_as_novel,base_unknown_pred_pct,novel_unknown_pred_pct,unknown_unknown_pred_pct,unknown_winner_anchors,calibrated_gate_gt_0.05,base_correct_pct,floor_score,temp,u_recall_hit,u_recall_total,unknown_as_base,unknown_correct_pct
baseline,True,,,,,43.71057513914657,,33.860363180964306,,129,,796,,341,,0.16434377149845847,12.460864120225423,18.664192949907235,0,0,46.58190434937703,,,1178,2695,186,18.664192949907235
tau0.5_sd0.003,,score_delta,0.5,,0.003,40.816326530612244,-2.894248608534326,33.98559799624296,0.12523481527865243,125,-4,783,-13,342,1,0.15924784059928146,12.257357545397621,18.404452690166977,11696123.0,6255233.0,46.58190434937703,0.0015,0.04,1100,2695,186,18.404452690166977
tau0.5_sd0.005,,score_delta,0.5,,0.005,39.888682745825605,-3.821892393320965,34.110832811521604,0.25046963055729776,123,-6,773,-23,342,1,0.15669987514969297,12.100814026299311,18.330241187384043,11696123.0,6255233.0,46.58190434937703,0.0015,0.04,1075,2695,186,18.330241187384043
tau0.5_sd0.008,,score_delta,0.5,,0.008,38.5899814471243,-5.120593692022268,34.31433938634941,0.4539762053851035,120,-9,748,-48,345,4,0.15287792697531022,11.709455228553537,18.070500927643785,11696123.0,6255233.0,46.58445231482661,0.0015,0.04,1040,2695,186,18.070500927643785
tau0.55_sd0.003,,score_delta,0.55,,0.003,41.48423005565863,-2.226345083487942,33.93863494051346,0.07827175954915333,125,-4,788,-8,342,1,0.15924784059928146,12.335629304946776,18.589981447124305,11696123.0,4303269.0,46.58190434937703,0.0015,0.04,1118,2695,186,18.589981447124305
tau0.55_sd0.005,,score_delta,0.55,,0.005,40.816326530612244,-2.894248608534326,34.04821540388228,0.1878522229179751,125,-4,777,-19,342,1,0.15924784059928146,12.163431433938635,18.478664192949907,11696123.0,4303269.0,46.58190434937703,0.0015,0.04,1100,2695,186,18.478664192949907
tau0.55_sd0.008,,score_delta,0.55,,0.008,39.66604823747681,-4.044526901669762,34.23606762680025,0.3757044458359431,124,-5,756,-40,343,2,0.1579738578744872,11.834690043832186,18.367346938775512,11696123.0,4303269.0,46.58190434937703,0.0015,0.04,1069,2695,186,18.367346938775512
tau0.6_sd0.003,,score_delta,0.6,,0.003,41.855287569573285,-1.8552875695732851,33.92298058860363,0.06261740763932266,125,-4,790,-6,341,0,0.15924784059928146,12.366938008766438,18.62708719851577,11696123.0,3219478.0,46.58190434937703,0.0015,0.04,1128,2695,186,18.62708719851577
tau0.6_sd0.005,,score_delta,0.6,,0.005,41.33580705009277,-2.374768089053802,34.03256105197245,0.17219787100814443,125,-4,781,-15,342,1,0.15924784059928146,12.22604884157796,18.589981447124305,11696123.0,3219478.0,46.58190434937703,0.0015,0.04,1114,2695,186,18.589981447124305
tau0.6_sd0.008,,score_delta,0.6,,0.008,40.890538033395174,-2.820037105751396,34.17345021916093,0.3130870381966204,124,-5,760,-36,342,1,0.1579738578744872,11.897307451471509,18.552875695732837,11696123.0,3219478.0,46.58190434937703,0.0015,0.04,1102,2695,186,18.552875695732837
