label,baseline,mode,tau,alpha,score_delta,margin_eps,protect_base,u_recall_pct,delta_u_recall_pct,novel_correct_pct,delta_novel_correct_pct,base_false_unknown,delta_base_false_unknown,novel_false_unknown,delta_novel_false_unknown,unknown_as_novel,delta_unknown_as_novel,base_unknown_pred_pct,novel_unknown_pred_pct,unknown_unknown_pred_pct,unknown_winner_anchors,calibrated_gate_gt_0.05,base_correct_pct,floor_score,temp,u_recall_hit,u_recall_total,unknown_as_base,unknown_correct_pct
baseline,True,,,,,,,43.71057513914657,,33.860363180964306,,129,,796,,341,,0.16434377149845847,12.460864120225423,18.664192949907235,0,0,46.58190434937703,,,1178,2695,186,18.664192949907235
tau0.5_sd0.001,,score_delta,0.5,,0.001,0.0005,False,41.96660482374768,-1.7439703153988901,33.907326236693805,0.046963055729499104,125,-4,791,-5,341,0,0.15924784059928146,12.382592360676268,18.62708719851577,11696123.0,6255233.0,46.58190434937703,0.0015,0.04,1131,2695,186,18.62708719851577
tau0.5_sd0.002,,score_delta,0.5,,0.002,0.0005,False,41.44712430426716,-2.263450834879407,33.93863494051346,0.07827175954915333,125,-4,788,-8,342,1,0.15924784059928146,12.335629304946776,18.589981447124305,11696123.0,6255233.0,46.58190434937703,0.0015,0.04,1117,2695,186,18.589981447124305
tau0.5_sd0.003,,score_delta,0.5,,0.003,0.0005,False,40.85343228200371,-2.857142857142861,33.93863494051346,0.07827175954915333,125,-4,786,-10,342,1,0.15924784059928146,12.304320601127113,18.404452690166977,11696123.0,6255233.0,46.58190434937703,0.0015,0.04,1101,2695,186,18.404452690166977
tau0.5_sd0.005,,score_delta,0.5,,0.005,0.0005,False,40.25974025974026,-3.450834879406308,34.04821540388228,0.1878522229179751,124,-5,777,-19,342,1,0.1579738578744872,12.163431433938635,18.330241187384043,11696123.0,6255233.0,46.58190434937703,0.0015,0.04,1085,2695,186,18.330241187384043
tau0.55_sd0.001,,score_delta,0.55,,0.001,0.0005,False,42.18923933209647,-1.5213358070501002,33.89167188478397,0.03130870381966133,127,-2,792,-4,341,0,0.16179580604886998,12.398246712586099,18.62708719851577,11696123.0,4303269.0,46.58190434937703,0.0015,0.04,1137,2695,186,18.62708719851577
tau0.55_sd0.002,,score_delta,0.55,,0.002,0.0005,False,41.74397031539889,-1.96660482374768,33.92298058860363,0.06261740763932266,127,-2,790,-6,341,0,0.16179580604886998,12.366938008766438,18.62708719851577,11696123.0,4303269.0,46.58190434937703,0.0015,0.04,1125,2695,186,18.62708719851577
tau0.55_sd0.003,,score_delta,0.55,,0.003,0.0005,False,41.48423005565863,-2.226345083487942,33.92298058860363,0.06261740763932266,127,-2,790,-6,341,0,0.16179580604886998,12.366938008766438,18.62708719851577,11696123.0,4303269.0,46.58190434937703,0.0015,0.04,1118,2695,186,18.62708719851577
tau0.55_sd0.005,,score_delta,0.55,,0.005,0.0005,False,41.076066790352506,-2.634508348794064,34.03256105197245,0.17219787100814443,127,-2,780,-16,341,0,0.16179580604886998,12.210394489668127,18.515769944341372,11696123.0,4303269.0,46.58190434937703,0.0015,0.04,1107,2695,186,18.515769944341372
tau0.6_sd0.001,,score_delta,0.6,,0.001,0.0005,False,42.41187384044527,-1.2987012987013031,33.89167188478397,0.03130870381966133,127,-2,792,-4,341,0,0.16179580604886998,12.398246712586099,18.664192949907235,11696123.0,3219478.0,46.58190434937703,0.0015,0.04,1143,2695,186,18.664192949907235
tau0.6_sd0.002,,score_delta,0.6,,0.002,0.0005,False,42.11502782931355,-1.595547309833023,33.92298058860363,0.06261740763932266,127,-2,790,-6,341,0,0.16179580604886998,12.366938008766438,18.664192949907235,11696123.0,3219478.0,46.58190434937703,0.0015,0.04,1135,2695,186,18.664192949907235
tau0.6_sd0.003,,score_delta,0.6,,0.003,0.0005,False,41.855287569573285,-1.8552875695732851,33.92298058860363,0.06261740763932266,127,-2,790,-6,341,0,0.16179580604886998,12.366938008766438,18.62708719851577,11696123.0,3219478.0,46.58190434937703,0.0015,0.04,1128,2695,186,18.62708719851577
tau0.6_sd0.005,,score_delta,0.6,,0.005,0.0005,False,41.81818181818181,-1.8923933209647572,34.03256105197245,0.17219787100814443,127,-2,781,-15,341,0,0.16179580604886998,12.22604884157796,18.62708719851577,11696123.0,3219478.0,46.58190434937703,0.0015,0.04,1127,2695,186,18.62708719851577
tau0.65_sd0.001,,score_delta,0.65,,0.001,0.0005,False,42.782931354359924,-0.9276437847866461,33.87601753287414,0.015654351909830666,127,-2,793,-3,341,0,0.16179580604886998,12.41390106449593,18.664192949907235,11696123.0,2350070.0,46.58190434937703,0.0015,0.04,1153,2695,186,18.664192949907235
tau0.65_sd0.002,,score_delta,0.65,,0.002,0.0005,False,42.41187384044527,-1.2987012987013031,33.907326236693805,0.046963055729499104,127,-2,791,-5,341,0,0.16179580604886998,12.382592360676268,18.664192949907235,11696123.0,2350070.0,46.58190434937703,0.0015,0.04,1143,2695,186,18.664192949907235
tau0.65_sd0.003,,score_delta,0.65,,0.003,0.0005,False,42.33766233766234,-1.3729128014842331,33.907326236693805,0.046963055729499104,127,-2,791,-5,341,0,0.16179580604886998,12.382592360676268,18.664192949907235,11696123.0,2350070.0,46.58190434937703,0.0015,0.04,1141,2695,186,18.664192949907235
tau0.65_sd0.005,,score_delta,0.65,,0.005,0.0005,False,42.30055658627087,-1.410018552875698,33.98559799624296,0.12523481527865243,127,-2,784,-12,341,0,0.16179580604886998,12.273011897307452,18.664192949907235,11696123.0,2350070.0,46.58190434937703,0.0015,0.04,1140,2695,186,18.664192949907235
