level,class,class_idx,n_support,within_mean,own_proto_mean,best_other_proto_mean,own_minus_best_other_mean,within_p10
0,bus,0,7,0.5049980467274076,0.7587572421346392,0.6589182019233704,0.09983904021126884,0.3235812187194824
0,truck,1,6,0.5873614927132924,0.8100213209788004,0.6921349863211314,0.11788633465766907,0.44706223011016843
0,tanker_vehicle,2,3,0.72243865331014,0.9027508894602457,0.7655169367790222,0.13723395268122354,0.636861777305603
0,crane_truck,3,6,0.5856094638506572,0.8091196715831757,0.7039428651332855,0.10517680644989014,0.4428665816783905
0,street_cart,4,7,0.5685491036801111,0.7938419495310102,0.6200688055583409,0.17377314397266932,0.44613784551620483
0,excavator,5,6,0.6745952208836873,0.8537150422732035,0.7736198206742605,0.08009522159894307,0.512206894159317
1,bus,0,6,0.4615216920773188,0.7424743175506592,0.6727953354517618,0.0696789820988973,0.27995267808437346
1,truck,1,5,0.7747230589389801,0.9054161906242371,0.8569228768348693,0.04849331378936768,0.6101587891578675
1,tanker_vehicle,2,10,0.7810497707790799,0.8960718214511871,0.887275630235672,0.008796191215515137,0.5827591061592102
1,crane_truck,3,10,0.7318811800744799,0.8710298717021943,0.7995236992835999,0.07150617241859436,0.4810802102088928
1,street_cart,4,10,0.6342592510912154,0.8190441012382508,0.7230029791593552,0.09604112207889556,0.39561588168144224
1,excavator,5,10,0.5629216185874409,0.7788642138242722,0.7716974198818207,0.007166793942451477,0.15043672025203705
2,bus,0,3,0.8732460141181946,0.9568162759145101,0.8434861302375793,0.11333014567693074,0.85920250415802
2,truck,1,2,0.7129339575767517,0.9254550933837891,0.8877579271793365,0.037697166204452515,0.7129339575767517
2,tanker_vehicle,2,6,0.7045850833257039,0.8682286043961843,0.8487114707628886,0.019517133633295696,0.5333778381347656
2,crane_truck,3,4,0.8117600778738657,0.9267254769802094,0.7886919975280762,0.13803347945213318,0.7273254692554474
2,street_cart,4,5,0.6945367932319642,0.8692695498466492,0.842863118648529,0.02640643119812012,0.505512934923172
2,excavator,5,7,0.7962627070290702,0.9084977081843785,0.8797160983085632,0.028781609875815257,0.6668158769607544
