gt_class,count,car,motorcycle,rider,person,autorickshaw,bicycle,traffic_sign,traffic_light,bus,truck,tanker,crane_truck,street_cart,excavator
animal,4753,0.0008,0.0032,0.0019,0.0066,0.0020,0.0007,0.0001,0.0000,0.0002,0.0008,0.0005,0.0001,0.0011,0.0012
autorickshaw,165451,0.0067,0.0054,0.0006,0.0008,0.0423,0.0001,0.0002,0.0000,0.0125,0.0396,0.0075,0.0006,0.0241,0.0033
bicycle,7950,0.0003,0.0261,0.0013,0.0026,0.0027,0.0553,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0043,0.0005
bus,133670,0.0007,0.0002,0.0001,0.0001,0.0015,0.0001,0.0002,0.0000,0.0633,0.0162,0.0030,0.0008,0.0017,0.0006
car,470195,0.0379,0.0011,0.0003,0.0007,0.0038,0.0000,0.0001,0.0000,0.0027,0.0050,0.0008,0.0001,0.0007,0.0004
concrete_mixer,2926,0.0002,0.0015,0.0003,0.0001,0.0051,0.0000,0.0000,0.0001,0.0021,0.0315,0.0334,0.0092,0.0019,0.0371
crane_truck,3569,0.0001,0.0003,0.0001,0.0000,0.0023,0.0000,0.0003,0.0001,0.0022,0.0170,0.0147,0.0302,0.0017,0.0335
excavator,4254,0.0005,0.0010,0.0002,0.0000,0.0067,0.0000,0.0001,0.0000,0.0041,0.0241,0.0198,0.0182,0.0031,0.0384
motorcycle,391209,0.0019,0.1135,0.0059,0.0056,0.0120,0.0053,0.0000,0.0001,0.0001,0.0003,0.0003,0.0000,0.0016,0.0012
person,132819,0.0005,0.0032,0.0103,0.1221,0.0007,0.0007,0.0001,0.0001,0.0001,0.0002,0.0001,0.0000,0.0010,0.0004
pole,9610,0.0000,0.0001,0.0003,0.0023,0.0000,0.0000,0.0008,0.0006,0.0000,0.0000,0.0000,0.0004,0.0000,0.0001
pull_cart,1740,0.0005,0.0044,0.0001,0.0005,0.0164,0.0011,0.0000,0.0000,0.0002,0.0058,0.0014,0.0007,0.0375,0.0051
rider,225778,0.0017,0.0132,0.0696,0.1027,0.0025,0.0005,0.0001,0.0002,0.0004,0.0005,0.0003,0.0000,0.0008,0.0008
road_roller,1142,0.0012,0.0013,0.0002,0.0000,0.0117,0.0000,0.0000,0.0000,0.0027,0.0424,0.0355,0.0090,0.0085,0.0287
street_cart,23512,0.0003,0.0045,0.0001,0.0002,0.0198,0.0024,0.0000,0.0000,0.0013,0.0083,0.0021,0.0008,0.0642,0.0044
tanker_vehicle,9256,0.0006,0.0011,0.0001,0.0000,0.0084,0.0000,0.0000,0.0000,0.0102,0.0503,0.0350,0.0059,0.0044,0.0141
tractor,13034,0.0010,0.0038,0.0002,0.0000,0.0149,0.0000,0.0000,0.0000,0.0008,0.0385,0.0175,0.0054,0.0061,0.0170
traffic light,5677,0.0002,0.0001,0.0001,0.0007,0.0003,0.0000,0.0127,0.1196,0.0002,0.0003,0.0000,0.0001,0.0001,0.0001
traffic sign,47539,0.0003,0.0002,0.0002,0.0018,0.0002,0.0001,0.0451,0.0044,0.0007,0.0008,0.0001,0.0003,0.0002,0.0003
truck,175583,0.0023,0.0005,0.0002,0.0002,0.0073,0.0000,0.0007,0.0001,0.0185,0.0698,0.0170,0.0040,0.0076,0.0043
